,text,verdict
0,correct predict back futur ii,true
1,whitehous rainbow color scotusmarriag think decis,true
2,cop bought alleg church shooter burger king hour kill,true
3,ca kkk grand wizard endors hillaryclinton neverhillari trump,true
4,open letter trump voter top strategist turn defector via xojanedotcom,true
5,god put rainbow white hous,true
6,craigslist ad get paid hour protest trump ralli,true
7,quasimodo dog short spine big heart,false
8,need getcov peopl find health insur plan littl mo,false
9,wakeupamerica need gun registri obama person inform,true
10,japan economi minist akira amari resign corrupt alleg,false
11,german shepherd rare spinal condit look forev home,false
12,sever hostag freed jewish supermarket pari photo thoma samson afp,true
13,hostag taker supermarket sieg kill report say parisattack,true
14,heaven chick fil open sunday,true
15,accur predict decad jump adventur backtothefutur,true
16,apolog alreadi seen crow ride bald eagl today imag phoo chan stori,true
17,oh invent pencil appleev,false
18,canadian soldier kill today ottawa shoot cpl nathan cirillo famili sourc told cnn live blog,true
19,thought prayer enough pre obama speak mass shoot year,true
20,five hostag escap sydney cafe sieg live updat buzzfeedoz,true
21,heard south korean comfort woman yunghi photograph survivor,false
22,transluc butterfli beauti,true
23,everyon mad bruce sex chang one gave ashit nerd minku chang chanel west coast,true
24,famili schwarzenegg last act governor stole justic dead son,true
25,mass shoot obama previou presid combin,true
26,report charliehebdo suspect kill,true
27,kiss island greenland,true
28,polic chief say dylann roof taken burger king shortli arrest,true
29,steve job adopt biolog father abdulfattah jandali syrian muslim,true
30,russian olymp offici concern learn team clean urin reservoir almost empti,false
31,woman earn pay men work equalpay,false
32,break updat canadian soldier injur parliament hill shoot die ottawa,true
33,cop bought burger king dylann roof follow arrest,true
34,updat total peopl abl get sydney cafe hostag situat,true
35,berniesand end institut racism reform broken crimin justic system demdeb,true
36,high school graduat rate time high potu,false
37,florida coupl arrest sell fake real estat moon wtf,true
38,hate write love written dorothi parker born day,false
39,watch one direct origin xfactoruk audit began,false
40,steve job adopt biolog father abdulfattah jandali syrian muslim,true
41,donald trump v adolf hitler,true
42,target boycott cross million signer stock sink billion,true
43,shoot canadian parliament come day isi inspir radic drove canadian soldier also report shoot war memori,true
44,ca grand dragon endors hillari clinton behalf kkk trump,true
45,landmark around world turn purpl honor princ princerip purplerain,true
46,increasingli compar hitler bother trump,true
47,break least five hostag pari kosher supermarket afp vincenn,true
48,target ceo respond nationwid boycott store transgend bathroom polici,true
49,oh readi watch zaynmalik pillowtalk mtv tonight p,false
50,jeb bush campaign kick state farewel tour iowa town hall meet,false
51,happi backtothefutur day back futur part ii score predict,true
52,month old babi among hostag kosher supermarket pari unbear sad,true
53,rudi giuliani rip hillaryclinton drag colin powel email scandal lie everi day,false
54,openli gay man said partner met pope franci day kim davi,true
55,updat afp say gunman taken hostag kosher supermarket pari believ suspect kill policewoman thursday,true
56,isi claim respons tripl bomb kill least peopl injur near damascu,false
57,solo cup red decad starbuck take shot christma solo shot first,true
58,whitehous rainbow color tonight celebr scotu sex marriag rule,true
59,ben carson happen black slaveri pro life abort today,true
60,anonym kkk hood hide opkkk hoodsoff,true
61,open letter realdonaldtrump top strategist turn defector,true
62,el chapo threaten isi men destroy,true
63,uber intro surg price downtown sydney hostag sieg,true
64,avoid p bag charg use trolleybagsuk enter win set star x,true
65,chief te travi kelc realiti tv date show,false
66,break gunman policewoman kill suspect new pari hostag take sourc,true
67,new cnn orc poll find hillaryclinton ahead realdonaldtrump point,true
68,paramed current carri number hostag martinpl sydneysieg news,true
69,least kill today attack satir magazin charliehebdo pari offici say,true
70,latest starv refuge syria guy look like friggin soldier,true
71,white hous lit rainbow color gay marriag rule,true
72,poor woman india fight right job start work heart open,false
73,dearborn michigan morn pro isi ralli spread word fit hit u,true
74,ausopen british number one andi murray beat australia sam groth score,false
75,saliha one first woman ever stand elect saudi arabia watch stori,false
76,cnn talk irand nasa confirm earth experi day dark novemb,true
77,back futur predict came true,true
78,million american kill gun sinc john lennon death,true
79,arrest dylann roof hungri polic bought food burger king detail,true
80,polic move polic confirm live ammunit use martin place sydneysieg,true
81,pathet littl twat wait argu p bag charg,true
82,icymi joseph pena squat pound year old,false
83,two shot pari includ traffic cop manhunt continu charliehebdo suspect,true
84,warn syrian refuge hv arriv neworlean r stay fund r well invest one way ticket,true
85,sacha baron cohen wife donat million syrian refuge,false
86,trayvon martin space camp florida blacklivesmatt,true
87,steve job adopt biolog father abdulfattah jandali syrian muslim,true
88,hillari clinton strategist bob beckel call wikileak editor julian assang assassin,true
89,face femal jihadist tashfeenmalik could pas widow orphan norefuge islamistheproblem,true
90,lazi trait black book quot trump say,true
91,u tri locat american miss baghdad al arabiya report may kidnap militia,false
92,today deptofdefens took step expand paid leav militari mom dad,false
93,lazi trait black book quot trump say,true
94,man held disneyland pari carri low calibr gun copi koran polic sourc,false
95,el chapo v isi mexican cartel bos threaten islam state drug trade,true
96,adolf hitler v donald trump,true
97,berniesand pull magic trick hat nevada offici,true
98,opkkk releas name reveal unexpect plottwist,true
99,break skybusi freed hostag born high sydneysieg w c paramed team scene carsonscottli,true
100,celebr death hoax news jame earl jone dead,true
101,terp maryland knock iowa beaten last top oppon,false
102,uber say hike price sydney encourag driver come onlin pick passeng sydneysieg,true
103,big one larg scale motion detect along san andrea fault,true
104,look like face homeless coupl caught live walmart attic year,true
105,dave know polit modest content jumbotron dave crass loud,false
106,donald trump adolf hitler two side coin racism fascism,true
107,nhl cancel tonight game ottawa toronto due today shoot senat host mapl leaf,true
108,jay z beyonc want buy right confeder flag,true
109,peopl spoken petit snoopdogg narrat planet earth,false
110,white hous lit rainbow,true
111,colorado mcdonald offer first marijuana friendli smoke section restaur,true
112,break st load syrian refuge arriv new orlean makeamericagreatagain,true
113,ohio polic say offic serv sandwich contain glass shard restaur,true
114,myth zouheir hero muslim secur guard pari via bbctrend,true
115,lead caus death heart diseas cancer medic error,true
116,target believ men pee girl stock taken huge hit good keep boycot target,true
117,jindal demand info refuge enter new orlean,true
118,break polic enter lindt cafe hostag flee sydneysieg,true
119,appl announc profit quarter histori end unpreced growth,false
120,caitlyn jenner reportedli pose nude sport illustr,true
121,presid obama announc ban solitari confin juvenil feder prison washington post,false
122,fbi uncov nearli email materi sent hillari clinton,false
123,donald trump new adolf hitler,true
124,craigslist ad allegedli post berni support offer protest trump ralli wisconsin trump alreadi creat job,true
125,hillaryclinton ahead berniesand percentag point new cb news poll releas sunday,true
126,well done scotland p carrier bag charg yr old today cut usag le bag good caus,true
127,unreal watch happen desper muslim refuge offer red cross food,true
128,letter trump voter top strategist turn defector know real believ,true
129,father steve job ground break founder appl refuge syria,true
130,mask men dress black involv migrant attack stockholm,false
131,new transgend bathroom polici target real fabul,true
132,white hous aglow color rainbow celebr suprem court sex marriag decis,true
133,berni sander speak institut racism,true
134,investig nearli alleg unlaw kill uk soldier iraq drop mod say,false
135,mayor flatli deni klan membership anonym releas name onlin opkkk hoodsoff,true
136,donald spunktrumpet former commun director stephani cegielski resign written,true
137,holi christ samuraijack return televis,false
138,dh employe terror watch list h penguinsfan,true
139,kiss island greenland,true
140,donald trump support abort ban punish woman,true
141,break whitehous celebr u tonight lit rainbow color lovewin,true
142,iran suprem leader award medal troop captur sailor,false
143,greek custom captur contain weapon ammunit go refuge camp europ plastic furnitur,true
144,break video hillari surrog call assassin julian assang,true
145,desper ted cruz claim plan parenthood shooter transgend lefti base rumor read,true
146,woman lead author poor peopl groceri cart,false
147,ted cruz appar ride presid air forc one en rout dalla man barack obama saint,true
148,peopl china ride escal horrif accid,true
149,tweet realdonaldtrump orlando shoot,true
150,berni sander actual nevada hillari clinton peopl spoken,true
151,massachusett court find reason black men run polic avoid racial profil,true
152,cool photo white hous w rainbow color tonight hard top one chuck kennedi,true
153,donald trump tell chri matthew woman deserv form punish abort,true
154,dh employe terrorist watch list via kredo,true
155,woman america still earn everi men make time equalpay,false
156,peopl boycot target new transgend bathroom polici like,true
157,thousand peopl china claim seen float citi sky,true
158,danish lawmak approv bill allow seizur asylum seeker valuabl help cover expens,false
159,sydneysieg confirm dead prayforsydney prayforsydneyhostag sydney hostag,true
160,usg sonic boom confirm new jersey area report shake immedi known,false
161,mysteri creatur discov california everyon natur cri alien,true
162,consid orlando shooter regist democrat would like put back,true
163,powel break silenc clinton tri pin scandal,false
164,alert islam taught tennesse school wakeupamerica tcot wethepeopl pjnet ccot,true
165,el chapo put million bounti donald trump dead aliv,true
166,hacker anonym say set expo hundr kkk member opkkk,true
167,dylanobrien learn hard way mess shelleyhennig,false
168,dh employe terrorist watch list washington free beacon,true
169,sydney hostag taker man moni origin iran self style sheikh accus sexual assault woman develop,true
170,haron moni hostag taker sydney fled iran suspect ex wife kill sex assault,true
171,shock homeland secur employe terrorist watch list,true
172,drunk vegetarian eat meat via thedailybeast,true
173,kim davi anger eye tiger creator use song prison releas,true
174,white hous lit rainbow color follow u suprem court rule sex coupl right marri,true
175,reliabl sourc parliament hill tell assail kill cdnpoli ottnew,true
176,meet kenni tiger born syndrom proof perfect beauti,true
177,cnn orc poll clinton best st dem debat sander significantli increas support past month,true
178,ripchyna wwe icon pas away age,false
179,back futur predict actual came true,true
180,break south carolina ban sale tylenol fear pick cotton bottl may repres slaveri,true
181,hillari clinton strategist bob beckel call wikileak editor julian assang assassin dncleak,true
182,everyon think starbuck red cup ruin christma,true
183,fda confisc sever thousand chicken kfc farm mutat worsen,true
184,month ago rupert murdoch bought nation geograph fire writer hit stand,true
185,transluc butterfli beauti,true
186,target backlash transgend bathroom polici hit boil point boycotttarget,true
187,break updat gunman say four devic locat around sydney secur respons underway polic call calm news,true
188,sylvest stallon broke script rocki accept sold dog bought back,true
189,pre obama sanbernardino pattern mass shoot countri parallel,true
190,michael phelp gold medal speedo crash asu curtain distract last night read right,false
191,presssec realdonaldtrump comment disqualifi presid via talkopan,true
192,open letter trump voter top strategist turn defector juddapatow andylassn bettemidl,true
193,lurk underneath crispi crust kfc custom claim got fri rat,true
194,black men legitim reason run polic massachusett suprem court,true
195,exclus michael zahaf bibeau caught dashcam model sold ottawashoot,true
196,dear hillaryclinton st woman presidenti candid victoria woodhul look realdonaldtrump,true
197,escap sydneysieg hostag elli chen top student skill sportswoman,true
198,polic convoy helicopt rush scene detain charli hebdo massacr suspect,true
199,good news busi ad million job past month,false
200,dh employe terrorist watch list,true
201,ben carson brainless brain surgeon america new column,true
202,cnn orc poll donald trump competit gener elect via jennagiesta,true
203,team boast woman ever compet nation olymp game potu teamusa,false
204,break charli hebdo gunman hostag freed safe polic assault,true
205,sydney sieg polic enter cafe hostag flee scene gunfir heard report injur person live,true
206,mass shoot list reagan bush sr clinton bush jr obama sanbernadino,true
207,red alert drake drop new singl call summer sixteen new album,false
208,spoiler alert leo kate ridicul cute togeth sagaward,false
209,refus pay p bag charg backfir,true
210,pre obama sanbernardino pattern mass shoot countri,true
211,white hous take rainbow hue celebr scotusmarriag decis,true
212,perhap medium ask hillari clinton campaign made payment hard drive destruct compani,true
213,polic negoti contact arm hostag taker sydney situat motiv remain unknown,true
214,orlando oh look muslim shooter also democrat,true
215,obama skip nanci reagan funer music film festiv austin tx via waynedupreeshow,true
216,polic shut restaur offic cut mouth shard glass found sandwich,true
217,denver medic center lockdown hospit deadli incid denver coliseum,false
218,break news search move canada skyrocket follow supertuesday,true
219,hey guy target back check usa today articl boycott,true
220,donald trump lazi trait black realli believ anyth control,true
221,geoblock lift abcnew stream coverag martin place sieg sydney,true
222,polic confirm hostag escap sydney cafe unknown number remain insid sydneysieg,true
223,clinton hide fail health full disclosur covert doctor nurs via mailonlin maga realdonaldtrump,true
224,ador young fan ask riley curri valentin steph respond,false
225,sun goe white hous light rainbow color celebr scotu rule,true
226,erdo cite hitler germani exampl effect govern,false
227,starv beast destroy civilsocieti target stock sink billion,true
228,lazi trait black trump accord former presid trump plaza hotel casino vitico,true
229,break least kill shoot french satir newspap charli hebdo pari prosecutor offic say,true
230,confirm shooter shot dead parliament hill suspect cbcott ottnew,true
231,steve job biolog father syrian immigr,true
232,three men found guilti involv largest burglari english legal histori hatton garden,false
233,purpl memori landmark across globe honor princ death,true
234,plumber su car dealership truck trade end hand isi,true
235,five hostag escap besieg lindt cafe sydney latest updat,true
236,backtothefutur fan octob futur final,true
237,soldier shot dead wednesday ottawa attack name cpl nathan cirillo hamont ottawashoot,true
238,nasa astronaut stationcdrkelli captur beauti sunris aboard intern space station,false
239,jindal protest send syrian refuge new orlean,true
240,ohio lawmak want know state epa tell public lead leak water suppli sebr,false
241,uk right nervou p plastic bag charg implement california street ran red blood,true
242,french polic publish photo suspect yesterday montroug shoot mayb person kosher market,true
243,vote donald trump vote adolf hitler,true
244,transluc butterfli beauti,true
245,steve job adopt biolog father abdulfattah jandali syrian muslim,true
246,color celebr new chapter histori american civil right lovewin,true
247,urgent call purg plan tonight baton roug bluelivesmatt flash,true
248,china job threaten autom,false
249,vatican say kimdavi meet w popefr consid form support,true
250,toni tiger cummi left give,false
251,charleston church shooter dylann roof receiv million donat support,true
252,donald trump disqualifi run presid,true
253,test find human dna hot dog meat vegetarian product,true
254,obama cut militari pay third year row push min wage burger flipper,true
255,doubl rainbow white hous,true
256,holi shit rupert murdoch kill nation geograph,true
257,sander close point behind clinton new iowa poll,true
258,target new transgend polici rais sort question,true
259,potu declar feder emerg flint michigan supplement state local respons effort,false
260,bulgaria find fake passport hidden muslim refuge head germani passport terrorist,true
261,french polic hunt woman arm man arrest near disneyland pari,false
262,reagan mass shoot bush sr mass shoot clinton mass shoot bush jr mass shoot obama mass shoot,true
263,good news target stock plummet lbgtq bathroombil tcot pjnet rednationris,true
264,fox news host claim hillari clinton seizur camera secret health issu,true
265,soldier kill canada shoot young reservist six year old son,true
266,reagan mass shoot bush sr mass shoot clinton mass shoot bush jr mass shoot obama mass shoot,true
267,newsflash orlando shooter muslim democrat republican christian gayprid,true
268,nurs save live differ race color hillaryclinton think belong basketofdeplor,true
269,hillari clinton victoria woodhul pro life feminist ran nomin presid,true
270,report caitlyn jenner pose nude sport illustr,true
271,white hous shine rainbow color light honor scotu gay marriag decis lovewin,true
