,text,verdict
0,ohio polic offic hospit eat shard glass sandwich columbu restaur blackliesmatt,false
1,one men want copi orlando shooter stop l liber democrat berniebro,false
2,missouri governor declar state emerg ahead grand juri,false
3,iphon plu realli bend problem,false
4,paul walker die million cri million die human hunger one simpli give fk,true
5,ca kkk grand wizard endors hillaryclinton neverhillari trump,false
6,mikebrown want walk street dead ferguson pd use silenc death make crimin,false
7,year old girl wake brain surgeri ask doctor go via foxnewshealth,true
8,abl float januari aka zero g day hint,false
9,great banksi homag charli hebdo victim rt kowalshki nice work banksi jesuischarli,false
10,man cut peni threw bin girlfriend dump small manhood,false
11,break gill rosenberg tel aviv former idf soldier captur isi go iraq join kurd fight isi ch,false
12,world run chocol world largest chocol manufactur warn,false
13,name ferguson cop expect releas et polic chief say j b forb ap,false
14,hp confirm split two compani cut job hp,true
15,berni sander actual nevada hillari clinton peopl spoken,false
16,pope franci real mvp,false
17,polic chief helric fredou one polic offic investig case charliehebdo commit suicid,false
18,ferguson hongkong hongkongdemocraci protest adopt hand shoot,false
19,surveil robberi releas still video ferguson,false
20,thousand peopl china claim seen float citi sky,false
21,polic ottawa confirm whether gunman shot dead parliament person shot kill soldier war memori,true
22,leicest kfc refus hand wipe custom anti islam next separ door woman sharia sauc kfc ar,false
23,legendgari hitemup bad boy c e iamdiddi arrest connect murder tupac shakur wethewest,false
24,rip elli may clampett sad learn beverlyhillbilli star donna dougla pas away,true
25,hp confirm split two compani cut job hp,true
26,letter parent lego set year ahead time,true
27,sugarhil gang big bank hank die,true
28,dammit transgend year old left suicid note tumblr plead fix societi via jobarrow buzzfeednew,false
29,boko haram ceasefir includ releas bringbackourgirl hostag nigerian govern say,false
30,ebola found hair extens bitch wear weav,false
31,woman hospit confus hair mouss builder foam,false
32,jk rowl work eighth harri potter book expect rumour origin either quibbler trelawney,false
33,open letter trump voter top strategist turn defector juddapatow andylassn bettemidl,false
34,whiteliberalproverb n gger vote democrat next two hundr year lbj founder modern welfar state,false
35,peopl boycot target new transgend bathroom polici like,false
36,banksi respons charliehebdo attack banksi strike,false
37,donna dougla known role elli may clampett beverli hillbilli die,true
38,tesla reportedli select nevada build massiv billion batteri plant via foxcarreport,true
39,dog abandon scottish railway station suitcas full belong,true
40,banksi take charli hebdo simpl eleg uncompromis jesuischarli,false
41,riphulkhogan lift weight also lift heart,false
42,hewlett packard split pc printer busi corpor hardwar accord report,true
43,banksi share simpl beauti tribut charli hebdo cartoonist,false
44,dangerburgundi joerogan success clone dinosaur holi shit real,false
45,frustrat talk robberi kill unarm kid ferguson,false
46,caitlyn jenner pose nude sport illustr cover ball censor sad michael jordan face,false
47,peopl blame massacr orlando nra newsflash orlando shooter nra member regist democrat,false
48,ottawa polic confirm multipl suspect shoot say possibl shooter,true
49,local school art project titl candlelight,false
50,look innoc without hood would never think london rapper abdel maje abdel bari behead foley,false
51,target stock taken billion hit insist insult regular custom,false
52,one thing say giant goliath birdeat spider,true
53,fast furiou delay scrap follow paul walker death report,true
54,hey abc tweet statement say pay compens darren wilson interview silent ferguson,false
55,tesla say broken ground near reno nevada billion batteri plant,true
56,newsflash orlando shooter muslim democrat republican christian gayprid,false
57,fact malaysia airlin mh shot may hinder insur payout,false
58,fbi probe alleg audio michael brown shoot,true
59,nine briton u citizen child fear dead mh jet shot,false
60,shot plane black box unansw question mh,false
61,pregnant ferguson woman blind shot face polic bean bag video,true
62,twerk louisiana realli get mandatori day jail,false
63,one third vegetarian eat meat get drunk,false
64,man portray marlboro man die smoke relat diseas,true
65,hillari surroagt bob beckel call assassin julian assang,false
66,speed play part paul walker death,true
67,break tesla choos nevada gigafactori sourc tell cnbc,true
68,list overnight arrest ferguson much higher offici report via fergusonun,false
69,updat downtown ottawa lockdown polic say,true
70,actor play marlboro man ad die smoke relat diseas,true
71,hobbi lobbi ask ferguson pd clarif thought chop someon hand maximum penalti shoplift,false
72,deandr joshua shot head torch childhood friend w sole close wit mike brown murder,false
73,fort hood shooter reportedli drawn g salari sinc massacr,true
74,employe chick fil said ban use slang bae bruh ratchet,false
75,mother reveng afghan woman kill taliban milit son shot dead,false
76,oh rt dangillmor hong kong hand shoot emul ferguson protest power imag,false
77,target boycott cross million signer stock sink billion,false
78,mh,false
79,dorito flavor mountain dew real thing,true
80,read thing talk angela talk angela get person info talk angela access photo,false
